page,section,inv_no,stock_item,stock_ref,unit,initial_stock,stock_in,stock_out,balance
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,1,OIL FILTER (FLEETGUARD-LF4056),B1-1,PC,1.0,4.0,0.0,5.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,1,DRIVER BAR HANDLE,C-1,PC,3.0,0.0,0.0,3.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,1,SALT BAGS,MP-1,BAG,24.0,0.0,0.0,24.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,2,OIL FILTER (FLEETGUARD-LF9070),B1-2,PC,2.0,2.0,0.0,4.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,2,DASH BOARD PANEL (COLUMBIA),C-2,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,2,LINSEED OIL,MP-2,GALLON,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,3,OIL FILTER (FLEETGUARD-LF3000),B1-3,PC,1.0,3.0,0.0,4.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,3,DASH BOARD PANEL (CENTURY),C-3,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,3,LINSEED OIL,MP-3,QRT,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,4,OIL FILTER (DONALDSON-P551670),B1-4,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,4,HEADLIGHT FRAME,C-4,PC,4.0,0.0,0.0,4.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,4,ROTA WHEEL CAR,REAMMP-4,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,5,OIL FILTER (LUBE FINER-LFP2160),B1-5,PC,10.0,0.0,0.0,10.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,5,HOOD BRACE,C-5,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,5,ELF REAM,MP-5,PC,4.0,0.0,0.0,4.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,6,OIL FILTER (LUBE FINER-LFP9001),B1-6,PC,6.0,0.0,0.0,6.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,6,EXHAUST HOSE CLIP,C-6,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,0,7 CABIN CURTAIN,C-7,PC,3.0,0.0,0.0,3.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,6,FUEL INJECTION PUMP,MP-6,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,7,FUEL FILTER (LUBE FINER-LFP1000),B1-7,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,8,LTFTRB STICKER,C-8,PACK,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,7,FLY WHEEL,MP-7,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,8,FUEL FILTER (LUBE FINER-LFP815FN),B1-8,PC,6.0,0.0,0.0,6.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,9,C-9 0 8 PRESSURE PLATE,ASSEMBLYMP-8,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,9,FUEL FILTER (LUBE FINER-LFP816FN),B1-9,PC,6.0,0.0,0.0,6.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,10,C-10 0 9 CLUTCH LINING,MP-9,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,10,FUEL FILTER (LUBE FINER-LFF8020),B1-10,SET,3.0,0.0,0.0,3.0
